number,status,sk_description,supplier_number,supplier_description,minimum_po_quantity,purchase_unit,stock_unit,pur_stk_conversion,price_per_stock_unit,price_per_purchase_unit,supplier_id
1690,Active,Bun Hamburger Sesame 4 IN ,61014,6-12 Ea,1,CS,EA,72,0.1844,13.2768,51
1692,Obsolete,Loaf Pullman Rye Swirl 5/8,62455,12-19 sl,40,CS,EA,228,0.0925,21.09,51
1693,Active,Loaf Pullman Wheat 5/8in Slced,62456,Loaf Pullman Wheat 5/8in Slced,40,CS,EA,228,0.0623,14.2044,51
1694,Obsolete,Loaf Pullman Wheat 3/4 sliced,60967,12-16 SL,40,CS,EA,192,0.0618,11.8656,51
1695,Active,Loaf Pullman White 5/8 in SL,62457,12-19 SL,40,CS,EA,228,0.0559,12.7452,51
1696,Active,Loaf Pullman White 3/4 In,60966,12-16 SL,40,CS,EA,192,0.074,14.208,51
1699,Active,Bun Hamburger Sesame,62243,6-12 ea,40,CS,EA,72,0.211,15.192,51
1700,Obsolete,Bun Onion,60954,12-6 EA,40,CS,EA,72,0.21,15.12,51
1701,Active,Bun Sourdough Dip Pill,61854,12-6 EA,40,CS,EA,72,0.191,13.752,51
1702,Active,Stretch Film 20x5000 80ga,1049838,20x750 Machine Stretch Film,0,PAL,EA,40,0,0,2
1703,Active,Bun Steak Sliced 6 in ,60928,12-6 EA,40,CS,EA,72,0.45,32.4,51
1707,Active,U Pad Firenza 4X7 IN,1.05009E+11,U Pad Firenza 4X7 IN,1,EA,EA,1,0.0332,0.0332,17
1710,Obsolete,Tomatoes Roasted Diced ,16818,Tomatoes Roasted Diced ,72,CS,OZ,400,0.382,152.8,22
1711,Active,Spinach Blnch Chpped IQF ,193,Spinach Blanched Chopped IQF,0,CS,OZ,640,0.0708,45.312,86
1713,Active,Spread Cream Chz Tomato Sun,38242,Spread Cream Chz Tomato Sun,1,CS,OZ,480,0.1049,50.352,9
1714,Active,Cheese Feta Crumbled,48806,4-5 LB,1,CS,LB,20,2.9305,58.61,9
1722,Obsolete,Egg Insert Scrambled IQF,30155,1-265 EA,256,CS,EA,265,0.1632,43.248,52
1725,Obsolete,Turkey Pastrami Unsliced,6829,Turkey Pastrami Unsliced ,12,LB,LB,1,2.0896,2.0896,113
1729,Obsolete,Egg Patty Scrambled 1.75 oz,85855,Egg Patty Scrambled 1.75 OZ,108,CS,EA,136,0.1218,16.5648,7
1730,Obsolete,Egg Puffy Chol Free 1.75 oz ,85854,Egg Puffy Chol Free 144-1.75z,108,CS,EA,144,0.1591,22.9104,7
1736,Active,Box #2 Kraft Remote,1.03076E+11,Box #2 RSC Corrugated Remote,1,EA,EA,1,0.3215,0.3215,17
1737,Obsolete,Beef Corned Eye of Round,344974,,24,LB,LB,1,3.6304,3.6304,108
1739,Obsolete,Film Polypro Fuji 10 In Web,RKHS010010000500,Film Polypro Fuji 10 In Web,52,RL,IN,60840,0.0007,42.588,14
1740,Active,Salami Cotto Unsliced Farmland,30966,Salami Cotto Unsliced Farmland,10,LB,LB,1,1.93,1.93,114
1740,Active,Salami Cotto Unsliced Farmland,821092,Salami Cotto Unsliced Farmland,10,LB,LB,1,1.93,1.93,113
1742,Obsolete,Dip Spinach and Artichoke,92462,Dip Spinach and Artichoke,0,CS,OZ,216,0.2315,50.004,114
1742,Obsolete,Dip Spinach and Artichoke,7370117,Dip Spinach   Artichoke 36-6Z,1,CS,OZ,216,0.2315,50.004,108
1743,Active,Pkt Cream Cheese Spread,8780,Pkt Cream Cheese Spread,0,CS,EA,100,0.21,21,114
