number,description,category,status,case_pack,case_weight,case_weight_unit,usda_bug_required,purchase_to_stock_conversion,purchase_unit,stock_unit,customer_id,supplier_id
0453,Tortilla Corn White 4.5 Inch,BR,Active,768,32,LBS,No,768,CS,EA,10000,462
0454,Film BOPP Fuji 13.5 In Web,PK,Active,12,37,LBS,No,12,FT,IN,10000,463
0455,Sauce Enchilada La Vic 6/#10,SA,Active,612,38.25,LBS,No,612,CS,OZ,10000,465
0456,Chicken Bnls Wing Sesame Brd,PR,Active,30,33,LBS,No,30,CS,LB,10000,466
1481,Roll French Braided Sliced,BR,Obsolete,,0,,,72,CS,EA,10000,
1482,Ciabatta Pillow Loaf,BR,Obsolete,,0,,,64,CS,EA,10000,
1495,Focaccia Sundried Tomato,BR,Obsolete,,0,,,80,CS,EA,10000,
0460,Beef Patty Angus 4.0 OZ,PR,Active,160,41.5,LBS,No,160,CS,EA,10000,471
1687,Kaiser Corn Dusted 4.5 in ,BR,Active,,0,,No,72,CS,EA,10000,
1692,Loaf Pullman Rye Swirl 5/8,BR,Obsolete,,0,,,228,CS,EA,10000,
1694,Loaf Pullman Wheat 3/4 sliced,BR,Obsolete,,0,,,192,CS,EA,10000,
1700,Bun Onion,BR,Obsolete,,0,,,72,CS,EA,10000,
1750,Muffin English Original 80T,BR,Obsolete,,0,,,80,CS,EA,10000,
1752,Muffin English Original 80T,BR,Obsolete,,0,,No,80,CS,EA,10000,
0467,Ctn 2x2PK BECB PigWig,PK,Active,300,32.52,LBS,No,1,EA,EA,10000,478
0468,Ctn 2x2PK SECB PigWig,PK,Active,300,32.52,LBS,No,1,EA,EA,10000,479
0469,Ctn 2x2PK SECM PigWig,PK,Active,300,32.52,LBS,No,1,EA,EA,10000,480
0470,Muffin Eng Orig 3z 80T Unslicd,BR,Active,80,13,LBS,No,80,CS,EA,10000,481
0471,Ctn 2x2PK SECC PigWig,PK,Active,300,32.52,LBS,No,1,EA,EA,10000,482
0472,Ctn 2x2PK HECM PigWig,PK,Active,300,32.52,LBS,No,1,EA,EA,10000,483
0473,Ctn Bowl BEPC PigWig,PK,Active,325,27.45,LBS,No,1,EA,EA,10000,484
0474,Ctn Bowl SEPC PigWig,PK,Active,325,27.45,LBS,No,1,EA,EA,10000,485
0475,Muffin Eng MG 3z 80T Unslicd,BR,Active,80,12.9,LBS,No,80,CS,EA,10000,486
1757,Muffin English Multigrain 80T,BR,Obsolete,,0,,No,80,CS,EA,10000,
1799,Loaf Pullman Sourdough 7/16 in,BR,Obsolete,,0,,,228,CS,EA,10000,
1807,Roll Totem 3x12 In 6-6 Ea,BR,Obsolete,,0,,,36,CS,EA,10000,
1821,Flat Whole Wheat Lavash 7x9,BR,Obsolete,,0,,,72,CS,EA,10000,
0443,Cheese Brie Sliced .705 Oz,DA,Active,150,7.3,LBS,No,150,CS,EA,10000,
0481,Ctn 4Pk SECB A&P 87700,PK,Active,360,47.3,LBS,No,1,EA,EA,10000,492
0482,Ctn 4Pk BECB A&P 87701,PK,Active,360,47.3,LBS,No,1,EA,EA,10000,493
0483,Ctn 4Pk SECC A&P 87702,PK,Active,360,47.3,LBS,No,1,EA,EA,10000,494
0484,Ctn 4Pk TSECM A&P 87703,PK,Active,360,47.3,LBS,No,1,EA,EA,10000,495
0485,Muffin Eng Whl Wheat 2 Oz,BR,Active,144,19.52,LBS,No,144,CS,EA,10000,496
0486,Sausage Turkey 1.4 Oz,PR,Active,114,10.7,LBS,No,114,CS,EA,10000,497
0487,Egg White Patty 3 Inch 1.3 Oz,PR,Active,153,13.953,LBS,No,153,CS,EA,10000,498
0488,Cheese Mont Jack Loaf 6-5Lb,DA,Active,30,31,LBS,No,30,CS,LB,10000,499
0489,Cheese Pepperjack Loaf 2-5 Lb,DA,Active,10,11,LBS,No,10,CS,LB,10000,500
0490,Ctn 4Pk SECB Weis 87800,PK,Active,360,47.3,LBS,No,1,EA,EA,10000,501
0491,Ctn 4Pk BECB Weis 87801,PK,Active,360,47.3,LBS,No,1,EA,EA,10000,502
0492,Ctn 4Pk SECC Weis 87802,PK,Active,360,47.3,LBS,No,1,EA,EA,10000,503
0493,Ctn 4Pk SECM Weis 87803,PK,Active,360,47.3,LBS,No,1,EA,EA,10000,504
0494,Carrot Strips Julienn No Sugar,VE,Active,528,37.258,LBS,No,528,CS,OZ,10000,505
1426,Cheese Cheddar White Mild Loaf,DA,Active,40,41.2,LBS,,40,CS,LB,10000,
1427,Cheese American Processed .43z,DA,Active,736,20.9,LBS,No,736,CS,EA,10000,
1446,Cheese Provolone Sliced .5 Oz,DA,Active,384,13.3,LBS,,384,CS,EA,10000,
1467,Cheese Havarti Sliced Dofino,DA,Obsolete,192,12.9,LBS,No,192,CS,EA,10000,
1489,Cheese Mozzarella Sliced .5 Oz,DA,Obsolete,320,11,LBS,No,320,CS,EA,10000,
1714,Cheese Feta Crumbled,DA,Active,20,21.8,LBS,No,20,CS,LB,10000,
0501,Sauce Honey Grade A 4-12 Lb,SA,Active,768,50.3,LBS,No,768,CS,OZ,10000,512
0502,Ham BF Smoked Uncured Natural,PR,Active,22.5,24.2,LBS,No,1,LB,LB,10000,513
0503,Chicken Smoked Uncured Natural,PR,Active,39,41,LBS,No,1,LB,LB,10000,514
0504,Cheese Havarti Loaf 1-9.5 Lb,DA,Active,9.5,10,LBS,No,9.5,CS,LB,10000,515
0505,Baguette Wht 7.5in Sliced,BR,Active,80,13.5,LBS,No,80,CS,EA,10000,516
0506,Cheese Jarlsberg Loaf 2-12 Lb,DA,Active,24,25,LBS,No,24,CS,LB,10000,517
0507,Film Fuji Baguette Ham,PK,Active,5500,49,LBS,No,5500,RL,IMP,10000,518
1770,Cheese Swiss Processed .5 Oz,DA,Active,640,16.5,LBS,No,640,CS,EA,10000,
0509,Film Fuji Baguette Cheese,PK,Active,5500,49,LBS,No,5500,RL,IMP,10000,520
0510,Film Fuji MiniWrap Thai Chick,PK,Active,8000,49,LBS,No,8000,RL,IMP,10000,521
0511,Film Fuji MiniWrap Turkey,PK,Active,8000,49,LBS,No,8000,RL,IMP,10000,522
0512,Film Fuji MiniWrap Hummus,PK,Active,8000,49,LBS,No,8000,RL,IMP,10000,523
1447,Swiss Sliced,DA,Not Stocked,,0,,,1000,CS,EA,10000,
1483,Cheese Cheddar Buffalo,DA,Obsolete,,0,,,1,LB,LB,10000,
0515,Film Fuji Bistro Brie/Apple,PK,Active,8000,49,LBS,No,8000,RL,IMP,10000,526
0516,Sausage Ital Chick Crumble CAN,PR,Active,30,32,LBS,No,30,CS,LB,10000,527
1503,Cheese Parmesan Shredded,DA,Obsolete,,0,,,20,CS,LB,10000,
1606,Cheese White Red Fat Loaf,DA,Obsolete,,0,,,10,CS,LB,10000,
1795,Cheese Cheddar Medium .75 Oz,DA,Obsolete,,0,,,264,CS,EA,10000,
1804,Cheese Pepper Jack .75 OZ,DA,Obsolete,,0,,,192,CS,EA,10000,
0521,Frank Skinless Vienna 5:1,PR,Active,52,11,LBS,No,50,CS,EA,10000,532
1815,Cheese Jack Pepper Loaf 2-5 LB,DA,Obsolete,,0,,,10,CS,LB,10000,
19160,Orange Chicken Bowl 12/cs,FG,Active,12,8.02,LBS,Yes,1,CS,CS,AMT836,
19161,Sausage Breakfast Bowl 12/cs,FG,Active,12,6.97,LBS,Yes,1,CS,CS,AMT836,
19162,Enchilada - Sonora Style 12/cs,FG,Active,12,8.55,LBS,Yes,1,CS,CS,AMT836,
19167,Enchilada - Sonora Style 12/cs,FG,Active,12,8.175,LBS,Yes,1,CS,CS,DSI,
85301,Sausage, Egg,Chs Bisc 12/1x4pk,FG,Active,12,15.3,LBS,No,1,CS,CS,WFF,
85400,Sausage, Egg,Chs Cro 12/1x4pk,FG,Active,12,16.8,LBS,No,1,CS,CS,CSWG,
85401,Sausage, Egg,Chs Bis 12/1x4pk,FG,Active,12,16.85,LBS,No,1,CS,CS,CSWG,
85402,Bacon, Egg, Chs Bisc 12/1x4pk,FG,Active,12,13.9,LBS,No,1,CS,CS,CSWG,
85403,Ham, Egg, Chs Crois 12/1x4pk,FG,Active,12,15.75,LBS,No,1,CS,CS,CSWG,
85410,Sausage, Egg,Chs Cro 12/1x4pk,FG,Active,12,16.85,LBS,No,1,CS,CS,CSWG,
85411,Sausage, Egg, Chs Bis 12/1x4pk,FG,Active,12,17.05,LBS,No,1,CS,CS,CSWG,
85412,Bacon, Egg,Chs Bisc 12/1x4pk,FG,Active,12,13.9,LBS,No,1,CS,CS,CSWG,
85413,Ham, Egg, Chs Crois 12/1x4pk,FG,Active,12,15.3,LBS,No,1,CS,CS,CSWG,
85421,Sausage, Egg,Chs Cro 8/1x4pk,FG,Active,8,9.84,LBS,No,1,CS,CS,CSWG,
85422,Sausage, Egg,Chs Bis 8/1x4pk,FG,Active,8,9.84,LBS,No,1,CS,CS,CSWG,
85423,Ham, Egg, Chs Crois 8/1x4pk,FG,Active,8,9.24,LBS,No,1,CS,CS,CSWG,
85424,Sausage, Egg,Chs Cro 8/1x4pk,FG,Active,8,9.84,LBS,No,1,CS,CS,CSWG,
85425,Sausage, Egg, Chs Bis 8/1x4pk,FG,Active,8,9.84,LBS,No,1,CS,CS,CSWG,
85426,Bacon, Egg,Chs Bisc 8/1x4pk,FG,Active,8,7.84,LBS,No,1,CS,CS,CSWG,
0796,Box #5 RSC Corrugated Kraft,PK,Active,1,16.1,LBS,No,1,EA,EA,10000,553
85427,Ham, Egg, Chs Crois 8/1x4pk,FG,Active,8,9.24,LBS,No,1,CS,CS,CSWG,
0827,Pepperoncini Sliced,VE,Active,128,39.4,LBS,,128,GAL,OZ,10000,555
85428,Bacon, Egg, Chs Bisc 8/1x4pk,FG,Active,8,7.84,LBS,No,1,CS,CS,CSWG,
85453,Sausage, Egg,Chs Bisc 12/2x2pk,FG,Active,12,16.35,LBS,No,1,CS,CS,BBL,
86000,Msh Stk Ched Lean Panini 12/cs,FG,Active,12,5.75,LBS,No,1,CS,CS,HEB,
86001,Chkn Msh Spn Lean Panini 12/cs,FG,Active,12,5.75,LBS,No,1,CS,CS,HEB,
86002,Philly Steak Lean Panini 12/cs,FG,Active,12,5.75,LBS,No,1,CS,CS,HEB,
86003,Poblano Chkn Lean Panini 12/cs,FG,Active,12,5.75,LBS,No,1,CS,CS,HEB,
86600,Chili Hot Dog (Nathans) 12/cs,FG,Active,12,3.38,LBS,No,1,CS,CS,VISTAR,
86601,Chili Hot Dog (Nathans) 8/2pk,FG,Active,8,4,LBS,No,1,CS,CS,NEXCOM,
86602,Beef Hot Dog 12/cs,FG,Active,12,2.63,LBS,No,1,CS,CS,VISTAR,
